ASMID,SPECIES,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
GCA_014904845.1_Acema1,Acephala macrosclerotiorum,EW76-UTF0540,PRJNA334316,886606,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Mollisiaceae,Acephala,Acephala macrosclerotiorum,F74D2E4C
GCA_031001845.1_ASM3100184v1,Achaetomiella virescens,148.68,PRJNA945858,1934374,dikarya,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,Achaetomiella,Achaetomiella virescens,FE89BD6F
GCA_033296875.1_Achma1,Achaetomium macrosporum,CBS 532.94,PRJNA441724,79813,dikarya,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,Achaetomium,Achaetomium macrosporum,F0443DCA
GCA_030579395.1_ASM3057939v1,Aciculoconidium aculeatum,NRRL YB-4298,PRJNA736342,43968,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Debaryomycetaceae,Aciculoconidium,Aciculoconidium aculeatum,F6D375A1
GCA_000222935.2_AciTa_1.0,Aciculosporium take MAFF-241224,MAFF-241224,PRJNA67241,1036760,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Aciculosporium,Aciculosporium take,F4FC39BC
GCA_019670975.1_ASM1967097v1,Acidiella bohemica,SYSU C17045,PRJNA725650,1176733,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acidiella,Acidiella bohemica,F686C401
GCA_001592465.1_Acidomyces_richmondensis_BFW_v1.0,Acidomyces richmondensis BFW,BFW,PRJNA207869,766039,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,Acidomyces sp. 'richmondensis',F17C9178
GCA_001572075.1_ASM157207v1,Acidomyces sp. 'richmondensis',meta,PRJNA248220;PRJNA248226,245562,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,Acidomyces sp. 'richmondensis',F9098BC1
GCA_054490815.1_RUAS_VINSTROM,Acremonium polychromum,NFCCI 6138,PRJNA1338585,1036751,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Bionectriaceae,Acremonium,Acremonium polychromum,F3CD8118
GCA_020087035.1_ASM2008703v1,Acremonium sp. FKII-L8-BK-P5,FKII-L8-BK-P5,PRJNA644637,2778101,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Bionectriaceae,Acremonium,Acremonium sp. FKII-L8-BK-P5,F6B21F09
GCA_028476805.1_ASM2847680v1,Acrocalymma vagum,A21,PRJNA921830,1589764,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Acrocalymmaceae,Acrocalymma,Acrocalymma vagum,F289AF5C
GCA_033807595.1_ASM3380759v1,Acrodontium crateriforme,169a,PRJNA1034788,150365,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acrodontium,Acrodontium crateriforme,F1CE3959
GCA_016098155.1_UCR_MambBC1055_1.0,Actinomortierella ambigua,BC1065,PRJNA463334,1343610,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Actinomortierella,Actinomortierella ambigua,F9D4E4C8
GCA_016098105.1_UCR_MwolfiiNRRL6351_1.0,Actinomortierella wolfii,NRRL 6351,PRJNA340479,90253,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Actinomortierella,Actinomortierella wolfii,FAB251FE
GCA_026027325.1_ASM2602732v1,Actinomucor elegans,CJ-6,PRJNA848933,64647,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans,FD969266
GCA_004216415.1_S18-22,Aeminium ludgeri,E14,PRJNA520871,2518135,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Aeminiaceae,Aeminium,Aeminium ludgeri,FD68B63E
GCA_038094355.1_BD703-Stobilomyces-lepidellus,Afroboletus lepidellus,UT-M0000099,PRJNA1022813,3095450,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Afroboletus,Afroboletus lepidellus,F9CCCC79
GCA_002718315.1_ASM271831v1,Agaricales sp. HM26-F1,HM26-F1,PRJNA388831,2607230,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,,,Agaricales sp. HM26-F1,F165E458
GCA_006228365.1_ASM622836v1,Agaricus bisporus,KMCC00540,PRJNA534383,5341,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,F41D9D90
GCA_001682475.1_ASM168247v1,Agaricus bisporus var. bisporus,H39,PRJNA61005,192523,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,FFAED62A
GCF_000300575.1_Agabi_varbisH97_2,Agaricus bisporus var. bisporus H97,H97,PRJNA61005,936046,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,F2B1A1A1
GCA_014872705.1_ASM1487270v1,Agaricus bisporus var. burnettii,H119_p4,PRJNA635555,192524,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,FA6AE42A
GCF_000300555.1_Agabi_varbur_1,Agaricus bisporus var. burnettii JB137-S8,JB137-s8,PRJNA61007,597362,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,F5B6F0B4
GCA_030246685.1_ASM3024668v1,Agaricus bitorquis,BH01,PRJNA946023,5343,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bitorquis,F8F2286A
GCA_029719445.1_ASM2971944v1,Agaricus blazei,JA-15036,PRJNA532471,79798,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus blazei,FF9D1BC6
GCA_022315185.1_ASM2231518v1,Agaricus sinodeliciosus,ZRL20160001-S65,PRJNA744025,1550288,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus sinodeliciosus,FA5C54A1
GCA_029945375.1_Asub-V01,Agaricus subrufescens,ABL 49,PRJNA926637,87252,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus subrufescens,F50AC181
GCA_029231695.1_Cm_Agmasoma_carcini_1,Agmasoma sp. JBojko-2022a,v2,PRJNA888961,2984836,fungi,Microsporidia,,,,,Thelohaniidae,Agmasoma,Agmasoma sp. JBojko-2022a,FAA64C3D
GCA_041475395.1_ASM4147539v1,Agroathelia delphinii,SD,PRJNA1031343,180424,dikarya,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia delphinii,F05F955B
GCA_018343915.1_ASM1834391v1,Agroathelia rolfsii,GP3,PRJNA635225,39291,dikarya,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia rolfsii,FD80AAA3
GCA_027627235.1_Agrocybe_chaxingu_MP-N11_reassembly,Agrocybe chaxingu,MP-N11,PRJNA855555,84603,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Agrocybe,Agrocybe chaxingu,F3B668AA
GCA_013053245.1_LU_AGP_1.0,Agrocybe pediades,CBS 102.39,PRJNA496353,84607,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Agrocybe,Agrocybe pediades,F8E2FCA9
GCA_964017145.1_gfAgrPrae1.1,Agrocybe praecox,,PRJEB40665;PRJEB43510;PRJEB43745;PRJEB63448;PRJEB74180;PRJNA533106,71668,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Agrocybe,Agrocybe praecox,F6D8FC91
GCA_051996675.1_ASM5199667v1,Agrocybe striatipes,ZRL20211296,PRJNA1223616,3018807,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Agrocybe,Agrocybe striatipes,FAAAEEC5
GCA_022814335.1_ASM2281433v1,Agyrium rufum,Spribille 39798,PRJNA795879,443868,dikarya,Ascomycota,,Lecanoromycetes,,Pertusariales,Pertusariaceae,Agyrium,Agyrium rufum,FDE1693B
GCA_051529075.1_YNP63,Akanthomyces attenuatus,MUC8126,PRJNA1074702,2259046,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces attenuatus,F0E6B10C
GCA_051527285.1_YNP42,Akanthomyces dipterigenus,MUC9702,PRJNA1074702,132109,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus,FE322439
GCA_001653215.1_ASM165321v1,Akanthomyces lecanii,UM487,PRJNA311919,2714763,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,F681F069
GCA_001636795.1_LEL_1.0,Akanthomyces lecanii RCEF 1005,RCEF 1005,PRJNA72733,1081108,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,F5D69F67
GCF_028009165.1_ASM2800916v1,Akanthomyces muscarius,Ve6,PRJNA777543,2231603,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces muscarius,FEE3DA2F
GCA_051528755.1_YNP78,Akanthomyces sp. G78,G78,PRJNA1074702,3120208,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces sp. G78,F12A2166
GCA_030778065.2_ASM3077806v2,Akanthomyces uredinophilus,MBC 350,PRJNA879330,2487154,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces uredinophilus,F9BECA7B
GCA_003314395.1_ASM331439v1,Albatrellus ellisii,MG60,PRJNA454572,80570,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Albatrellaceae,Albatrellus,Albatrellus ellisii,F7689288
GCA_003314695.1_ASM331469v1,Albatrellus sp. MG142,MG142,PRJNA454572,2175974,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Albatrellaceae,Albatrellus,Albatrellus sp. MG142,F647BD20
GCA_020081605.1_ASM2008160v1,Albifimbria verrucaria,IMI 368023,PRJNA736674,1859699,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Stachybotryaceae,Albifimbria,Albifimbria verrucaria,F4132733
GCA_051623215.1_EHU_AYaman_Ill_Nano,Albophoma yamanashiensis,EHU_M98,PRJNA990765,1635095,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Ophiocordycipitaceae,Albophoma,Albophoma yamanashiensis,F2166043
GCA_043388365.1_UoE_Agrylli_1,Albopleistophora grylli,EB-2024a,PRJNA1168716,3367401,fungi,Microsporidia,,,,,Pleistophoridae,Albopleistophora,Albopleistophora grylli,F7740A5A
GCA_905337325.1_GTX0161_lecanoromycete,Alectoria fallacina,,PRJEB42325,1903189,dikarya,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Alectoria,Alectoria fallacina,F8E3EB72
GCA_964257205.1_private_VT19_concoct_bin.7,Alectoria ochroleuca,,PRJEB77567,111641,dikarya,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Alectoria,Alectoria ochroleuca,F3E65497
GCA_964255965.1_private_X12_concoct_bin.4,Alectoria sarmentosa,,PRJEB77567,111643,dikarya,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Alectoria,Alectoria sarmentosa,F940A063
GCA_024752435.1_ASM2475243v1,Allantophomopsis cytisporea,ATCC 66955,PRJNA866153,1484957,dikarya,Ascomycota,,Leotiomycetes,,Phacidiales,Phacidiaceae,Allantophomopsis,Allantophomopsis cytisporea,F19F3CAE
GCA_024752465.1_ASM2475246v1,Allantophomopsis lycopodina,ATCC 66958,PRJNA866153,334518,dikarya,Ascomycota,,Leotiomycetes,,Phacidiales,Phacidiaceae,Allantophomopsis,Allantophomopsis lycopodina,FCEF1A0E
GCA_030581615.1_ASM3058161v1,Alloascoidea africana,NRRL Y-6762-3,PRJNA736342,27309,dikarya,Ascomycota,,Alloascoideomycetes,,Alloascoideales,Alloascoideaceae,Alloascoidea,Alloascoidea africana,F5FD6588
GCA_001600815.1_JCM_7604_assembly_v001,Alloascoidea hylecoeti,JCM 7604,PRJDB3556;PRJDB3734,54196,dikarya,Ascomycota,,Alloascoideomycetes,,Alloascoideales,Alloascoideaceae,Alloascoidea,Alloascoidea hylecoeti,F39431C9
GCA_030565225.1_ASM3056522v1,Allodekkera sacchari,CBS 14167,PRJNA736342,1936035,dikarya,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Allodekkera,Allodekkera sacchari,FC5AD718
GCA_027604705.1_ASM2760470v1,Allomyces arbusculus,Burma 1F,PRJNA581157,64504,fungi,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Blastocladiaceae,Allomyces,Allomyces arbusculus,FA629528
GCA_027604645.1_ASM2760464v1,Allomyces javanicus,California 12,PRJNA581158,64505,fungi,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Blastocladiaceae,Allomyces,Allomyces javanicus,FAFF0595
GCA_000151295.1_A_macrogynus_V3,Allomyces macrogynus ATCC 38327,ATCC 38327,PRJNA167910;PRJNA176382;PRJNA20563;PRJNA71873,578462,fungi,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Blastocladiaceae,Allomyces,Allomyces macrogynus,F5BE82F7
GCA_053542345.1_ASM5354234v1,Alternaria alstroemeriae,L6,PRJNA1328452,1111114,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alstroemeriae,FE536495
GCA_036971565.1_ALTB1129b1.0,Alternaria alternarina,TB-1129,PRJNA748521,1281297,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternarina,FF4CECA3
GCF_001642055.1_Altal1,Alternaria alternata,SRC1lrK2f,PRJNA239482,5599,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata,FB6C866B
GCA_022814545.1_ASM2281454v1,Alternaria angustiovoidea,FKII-L2-CM-DRAB1,PRJNA800051,1187901,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria angustiovoidea,F6B53C57
GCF_004154835.1_ASM415483v1,Alternaria arborescens,FERA 675,PRJNA360212,156630,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria arborescens,FB55235A
GCA_000256225.1_A_arborescens_1.0,Alternaria arborescens EGS 39-128,EGS 39-128,PRJNA78243,1122867,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria arborescens,FE31E801
GCF_024043155.1_ASM2404315v1,Alternaria arbusti,BMP 1465,PRJNA706766,232088,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria arbusti,F96AD419
GCF_907166805.1_ALTATR162,Alternaria atra,CS162,PRJEB42493,119953,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria atra,F2D1C788
GCA_036768465.1_ASM3676846v1,Alternaria brassicae,PNT,PRJNA1071297,29911,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria brassicae,F117BA10
GCA_977862185.1_Abra43_GG,Alternaria brassicicola,,PRJEB104865,29001,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria brassicicola,FE544E6C
GCA_000174375.1_ASM17437v1,Alternaria brassicicola ATCC 96836,ATCC 96836,PRJNA34523,622360,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria brassicicola,FFD1FD70
GCF_013036055.1_ASM1303605v1,Alternaria burnsii,CBS107.38,PRJNA600135,1187904,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria burnsii,F7FE95DA
GCA_020284155.1_ASM2028415v1,Alternaria cf. alternata,R-IC-06-P1,PRJNA644637,2738401,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria cf. alternata,F2098371
GCA_047302185.1_ASM4730218v1,Alternaria chlamydospora,SC11,PRJNA1190708,1187911,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria chlamydospora,F5FB4A4F
GCF_024043145.1_ASM2404314v1,Alternaria conjuncta,BMP 0040,PRJNA706766,181017,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria conjuncta,FA2481EA
GCA_001950455.1_JCM_1940_assembly_v001,Alternaria consortialis,JCM 1940,PRJDB3556;PRJDB3614,230004,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria consortialis,F800F57A
GCF_042100115.1_ASM4210011v1,Alternaria dauci,A2016,PRJNA991970,48095,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria dauci,FA778376
GCA_037044395.1_ASM3704439v1,Alternaria destruens,LH_A593,PRJNA1025352,230003,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria destruens,F04CEBC8
GCF_023757985.1_ASM2375798v1,Alternaria ethzedia,BMP 0044,PRJNA706766,181014,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria ethzedia,F9A5D186
GCA_004156025.2_ASM415602v2,Alternaria gaisen,FERA 650,PRJNA360212,167740,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria gaisen,F0110190
GCA_009289805.1_ASM928980v1,Alternaria gansuensis,LYZ1412,PRJNA574205,644589,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria gansuensis,F8242868
GCF_023758085.1_ASM2375808v1,Alternaria hordeiaustralica,BMP 2776,PRJNA706766,1187925,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria hordeiaustralica,FA1CD795
GCF_024043165.1_ASM2404316v1,Alternaria incomplexa,BMP 0042,PRJNA706766,1187928,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria incomplexa,F81EE144
GCF_024043175.1_ASM2404317v1,Alternaria infectoria,BMP 0036,PRJNA706766,45303,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria infectoria,FD741D79
GCA_047834895.1_ASM4783489v1,Alternaria linariae,25,PRJNA1193289,1568907,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria linariae,F18C04FD
GCA_019059555.1_ASM1905955v1,Alternaria longipes,CBS 540.94,PRJNA736258,160389,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria longipes,FF09BD07
GCF_023757995.1_ASM2375799v1,Alternaria metachromatica,BMP 0045,PRJNA706766,283354,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria metachromatica,FBE239EC
GCF_023758075.1_ASM2375807v1,Alternaria novae-zelandiae,BMP 2774,PRJNA706766,430562,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria novae-zelandiae,F54975D0
GCA_040583965.1_DAOMC238619_v1,Alternaria oregonensis,DAOMC238619,PRJNA612050,283353,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria oregonensis,F58820BB
GCA_019702505.1_ASM1970250v1,Alternaria panax,BNCC115425,PRJNA608755,48097,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria panax,FCF6EAD3
GCA_029783965.1_RDWU_Aporii_p.ctg,Alternaria porri,Apn-Nashik,PRJNA916367,48098,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria porri,F647A3C6
GCF_024291825.1_ASM2429182v1,Alternaria postmessia,BMP 2775,PRJNA706766,1187938,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria postmessia,FBD32A45
GCA_050230835.1_ASM5023083v1,Alternaria radicina,CBR2,PRJNA967848,119925,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria radicina,F868D6CE
GCF_020736505.1_Altro1,Alternaria rosae,MPI-PUGE-AT-0040,PRJNA347188,1187941,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria rosae,FF42A38D
GCA_002952155.1_ASM295215v1,Alternaria solani,NL03003,PRJNA391093,48100,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria solani,F1B3B896
GCA_024321975.1_ASM2432197v1,Alternaria sp. 'sect. Undifilum',W740-01,PRJNA776965,2896643,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. 'sect. Undifilum',FF34768C
GCA_049307025.1_Alt_peru_1,Alternaria sp. ALMS-2024a,ALMS-2024a,PRJNA1189477,3402833,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. ALMS-2024a,FA509B32
GCA_023758125.1_ASM2375812v1,Alternaria sp. Ai002NY15,Ai002NY15,PRJNA706766,2817039,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. Ai002NY15,F87F2AF1
GCA_023758005.1_ASM2375800v1,Alternaria sp. BMP 0032,BMP 0032,PRJNA706766,2817042,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. BMP 0032,F7781614
GCA_023758145.1_ASM2375814v1,Alternaria sp. BMP 2799,BMP 2799,PRJNA706766,2817041,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. BMP 2799,FCCE8A22
GCA_040584015.1_DAOMC225332_v1,Alternaria sp. DAOMC 225332,DAOMC225332,PRJNA612050,3075839,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. DAOMC 225332,F8610448
GCA_040583805.1_DET2042_v1,Alternaria sp. DET2042,DET2042,PRJNA612050,2803140,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. DET2042,F91A6A25
